ADDRESS,Data Split,PROPERTY TYPE,PredictedPrice,PRICE
815 Jupiter St,Train,Single Family Residential,432020.0,420000
200 W Grand Key Loop,Train,Single Family Residential,882332.0,885000
307 Summit Dr,Train,Single Family Residential,505716.0,460000
4453 Ocean View Dr,Train,Single Family Residential,1142340.0,1202000
4844 Ocean Blvd,Train,Single Family Residential,1620512.0,1675000
4507 Olde Plantation Pl,Train,Single Family Residential,2166042.0,2100000
261 Leaning Pines Loop,Train,Single Family Residential,944685.0,1025000
248 Matties Way,Train,Single Family Residential,1517502.0,1450000
3580 Waverly Cir,Train,Single Family Residential,1205191.0,1250000
3993 Indian Trl,Test,Single Family Residential,1865694.0,1575000
3619 Waverly Cir,Train,Single Family Residential,1172758.0,1130000
4571 Woodwind Pl,Train,Single Family Residential,613534.0,698000
4675 Amhurst Cir,Test,Single Family Residential,379172.0,410000
4304 Stonebridge Rd,Train,Single Family Residential,1377175.0,1349000
4806 Ocean Blvd,Train,Single Family Residential,2287875.0,2300000
4046 Lauren Ct,Test,Single Family Residential,1046849.0,850000
4761 Ocean Blvd,Test,Single Family Residential,3898896.0,2950000
515 Regatta Bay Blvd,Train,Single Family Residential,1661145.0,1749000
216 Calusa Blvd,Test,Single Family Residential,419763.0,540000
3484 Scenic Highway 98,Test,Single Family Residential,1804255.0,3400000
606 Legion Dr,Train,Single Family Residential,330614.0,330000
265 Tequesta Dr,Train,Single Family Residential,725696.0,670000
276 Corinthian Pl,Train,Single Family Residential,1314492.0,1230000
69 Crystal Beach Dr Unit 7,Train,Single Family Residential,851235.0,750000
201 Matties Way,Test,Single Family Residential,1703097.0,1250000
268 Twin Lakes Ln,Train,Single Family Residential,412803.0,425000
334 Stahlman Ave,Train,Single Family Residential,446763.0,339900
4748 ocean Blvd,Train,Single Family Residential,3481496.0,3500000
702 Harbor Blvd,Train,Single Family Residential,1550465.0,1600000
4511 Sawgrass Way,Test,Single Family Residential,4295734.0,3200000
859 Kell Aire Dr,Test,Single Family Residential,295434.0,480000
202 Kel Wen Cir,Test,Single Family Residential,614540.0,575000
4486 Luke Ave,Train,Single Family Residential,931321.0,1015000
229 Inverrary Dr,Train,Single Family Residential,487331.0,460000
301 Sand Myrtle Trl,Train,Single Family Residential,1234413.0,1250000
4518 Olde Plantation Pl,Train,Single Family Residential,5396478.0,5500000
4473 Ocean View Dr,Train,Single Family Residential,1156220.0,1200000
4077 N Indian Byu,Train,Single Family Residential,1315816.0,1440000
69 Crystal Beach Dr Unit 15,Test,Single Family Residential,851235.0,650000
4064 Burning Tree Dr,Train,Single Family Residential,756922.0,828000
808 Dawn Ln,Train,Single Family Residential,686288.0,579000
3551 Scenic Hwy 98 17,Test,Single Family Residential,1731098.0,1290000
3583 Waverly Cir,Test,Single Family Residential,2227007.0,1995000
4015 Drifting Sand Trl,Train,Single Family Residential,552703.0,606000
275 Baywinds Dr,Train,Single Family Residential,762492.0,826000
809 Mars St,Test,Single Family Residential,709482.0,752000
6278 Augusta Cv,Train,Single Family Residential,1498629.0,1465000
4616 Paradise Isle,Train,Single Family Residential,2015542.0,1900000
4821 Ocean Blvd,Train,Single Family Residential,1607456.0,1650000
4091 Drifting Sand Trl,Train,Single Family Residential,512871.0,548000
88 Log Pl,Train,Single Family Residential,346598.0,330000
244 Okeechobee Cv,Train,Single Family Residential,516279.0,550000
3812 Misty Way,Train,Single Family Residential,435026.0,405000
87 Matthew Blvd,Train,Single Family Residential,1125406.0,1146000
4019 Drifting Sand Trl,Train,Single Family Residential,560082.0,563000
303 Corinthian Pl,Test,Single Family Residential,1907940.0,1695000
276 Baywinds Dr,Test,Single Family Residential,603971.0,730000
302 Liriope Loop,Train,Single Family Residential,560367.0,485000
435 Admiral Ct,Train,Single Family Residential,1300033.0,1359000
255 Twin Lakes Ln,Train,Single Family Residential,399557.0,410000
4551 Village Way,Test,Single Family Residential,1364225.0,1115000
9 Cahaba Ln,Train,Single Family Residential,709384.0,690000
149 Kel Wen Cir,Train,Single Family Residential,630462.0,590000
4087 Drifting Sand Trl,Train,Single Family Residential,505492.0,525000
805 Kell Aire Dr,Train,Single Family Residential,683140.0,700000
1200 Bay Ct,Test,Single Family Residential,707431.0,619000
278 Calusa Blvd,Train,Single Family Residential,675315.0,600000
90 Sunfish St,Train,Single Family Residential,989226.0,925000
29 Kristin Cv,Train,Single Family Residential,693573.0,625000
4781 Ocean Blvd,Train,Single Family Residential,1846878.0,1775000
106 Fletcher Way,Train,Single Family Residential,721896.0,687900
1213 Quail Lake Blvd,Train,Single Family Residential,737119.0,700000
269 Twin Lakes Ln,Train,Single Family Residential,402841.0,420000
621 Calhoun Ave,Train,Single Family Residential,4567692.0,4630000
4316 Stonebridge Rd,Train,Single Family Residential,1714247.0,1853000
94 Mantero Way,Train,Single Family Residential,561096.0,499900
710 Beach Dr,Train,Single Family Residential,1397575.0,1350000
4663 Sunsail Cir,Train,Single Family Residential,678283.0,675000
347 Skyler Run,Test,Single Family Residential,551376.0,469900
90 Terra Cotta Way,Train,Single Family Residential,1212116.0,1200000
212 Mattie's Way,Train,Single Family Residential,1172053.0,1025000
