ADDRESS,Data Split,PROPERTY TYPE,PredictedPrice,PRICE
4754 Ocean Blvd,Train,Single Family Residential,6121976.0,6200000
85 Woodward St,Train,Single Family Residential,5675904.0,5750000
4518 Olde Plantation Pl,Train,Single Family Residential,4933118.0,5500000
400 Coleman Pt,Train,Single Family Residential,5348678.0,5500000
621 Calhoun Ave,Train,Single Family Residential,4367142.0,4630000
612 Magnolia Dr,Train,Single Family Residential,3814152.0,3836000
4662 Destiny Way,Train,Single Family Residential,3611508.0,3653000
4748 ocean Blvd,Train,Single Family Residential,3135058.0,3500000
3484 Scenic Highway 98,Train,Single Family Residential,3358263.0,3400000
446 Admiral Ct,Test,Single Family Residential,2724162.0,3400000
4713 Ocean Blvd,Train,Single Family Residential,3552269.0,3325000
4511 Sawgrass Way,Train,Single Family Residential,3206415.0,3200000
4548 Sailmaker Ln,Test,Single Family Residential,3510335.0,3150000
4761 Ocean Blvd,Train,Single Family Residential,2896793.0,2950000
XXX Cottage Way #7,Train,Single Family Residential,2528874.0,2775000
4668 Westwinds Way,Test,Single Family Residential,2595393.0,2600000
103 Shirah St,Test,Single Family Residential,1959881.0,2500000
4659 Westwinds Way,Train,Single Family Residential,2500974.0,2400000
4806 Ocean Blvd,Test,Single Family Residential,3204840.0,2300000
20 Norriego Rd,Test,Single Family Residential,1745213.0,2200000
5 Cross Ct,Train,Single Family Residential,1896412.0,2200000
499 Regatta Bay Blvd,Train,Single Family Residential,2329597.0,2185000
4507 Olde Plantation Pl,Train,Single Family Residential,2237657.0,2100000
3583 Waverly Cir,Train,Single Family Residential,1966769.0,1995000
722 Harbor Blvd,Test,Single Family Residential,1468021.0,1995000
4643 Destiny Way,Train,Single Family Residential,1949944.0,1959000
4616 Paradise Isle,Train,Single Family Residential,2015825.0,1900000
4630 Paradise Isle,Train,Single Family Residential,1750662.0,1900000
53 Siesta Blf,Train,Single Family Residential,1902354.0,1900000
4316 Stonebridge Rd,Test,Single Family Residential,1468150.0,1853000
3889 Sandprint Dr,Test,Single Family Residential,1597792.0,1800000
4712 Seastar Vis,Test,Single Family Residential,1867013.0,1800000
4781 Ocean Blvd,Train,Single Family Residential,1840818.0,1775000
