ADDRESS,Data Split,PROPERTY TYPE,PredictedPrice,PRICE
815 Jupiter St,CV,Single Family Residential,444459.0,420000
200 W Grand Key Loop,CV,Single Family Residential,882672.0,885000
307 Summit Dr,CV,Single Family Residential,581132.0,460000
4453 Ocean View Dr,CV,Single Family Residential,1024841.0,1202000
4844 Ocean Blvd,CV,Single Family Residential,1564029.0,1675000
4507 Olde Plantation Pl,CV,Single Family Residential,2257768.0,2100000
261 Leaning Pines Loop,CV,Single Family Residential,855864.0,1025000
248 Matties Way,CV,Single Family Residential,1533944.0,1450000
3580 Waverly Cir,CV,Single Family Residential,1075577.0,1250000
3993 Indian Trl,CV,Single Family Residential,1518199.0,1575000
3619 Waverly Cir,CV,Single Family Residential,1167466.0,1130000
4571 Woodwind Pl,CV,Single Family Residential,585414.0,698000
4675 Amhurst Cir,CV,Single Family Residential,432537.0,410000
4304 Stonebridge Rd,CV,Single Family Residential,1369065.0,1349000
4806 Ocean Blvd,CV,Single Family Residential,2331702.0,2300000
4046 Lauren Ct,CV,Single Family Residential,879646.0,850000
4761 Ocean Blvd,CV,Single Family Residential,2948036.0,2950000
515 Regatta Bay Blvd,CV,Single Family Residential,1442652.0,1749000
216 Calusa Blvd,CV,Single Family Residential,455476.0,540000
3484 Scenic Highway 98,CV,Single Family Residential,3203281.0,3400000
606 Legion Dr,CV,Single Family Residential,350280.0,330000
265 Tequesta Dr,CV,Single Family Residential,724233.0,670000
276 Corinthian Pl,CV,Single Family Residential,1319894.0,1230000
69 Crystal Beach Dr Unit 7,CV,Single Family Residential,765599.0,750000
201 Matties Way,CV,Single Family Residential,1416060.0,1250000
268 Twin Lakes Ln,CV,Single Family Residential,402238.0,425000
334 Stahlman Ave,CV,Single Family Residential,591274.0,339900
4748 ocean Blvd,CV,Single Family Residential,3502360.0,3500000
702 Harbor Blvd,CV,Single Family Residential,1527330.0,1600000
4511 Sawgrass Way,CV,Single Family Residential,3205716.0,3200000
859 Kell Aire Dr,CV,Single Family Residential,376729.0,480000
202 Kel Wen Cir,CV,Single Family Residential,618810.0,575000
4486 Luke Ave,CV,Single Family Residential,941593.0,1015000
229 Inverrary Dr,CV,Single Family Residential,521618.0,460000
301 Sand Myrtle Trl,CV,Single Family Residential,1250918.0,1250000
4518 Olde Plantation Pl,CV,Single Family Residential,5343691.0,5500000
4473 Ocean View Dr,CV,Single Family Residential,1139418.0,1200000
4077 N Indian Byu,CV,Single Family Residential,1362160.0,1440000
69 Crystal Beach Dr Unit 15,CV,Single Family Residential,765599.0,650000
4064 Burning Tree Dr,CV,Single Family Residential,649685.0,828000
808 Dawn Ln,CV,Single Family Residential,654773.0,579000
3551 Scenic Hwy 98 17,CV,Single Family Residential,1485583.0,1290000
3583 Waverly Cir,CV,Single Family Residential,2000982.0,1995000
4015 Drifting Sand Trl,CV,Single Family Residential,540999.0,606000
275 Baywinds Dr,CV,Single Family Residential,803080.0,826000
809 Mars St,CV,Single Family Residential,701714.0,752000
6278 Augusta Cv,CV,Single Family Residential,1521672.0,1465000
4616 Paradise Isle,CV,Single Family Residential,2042733.0,1900000
4821 Ocean Blvd,CV,Single Family Residential,1599925.0,1650000
4091 Drifting Sand Trl,CV,Single Family Residential,510187.0,548000
88 Log Pl,CV,Single Family Residential,382588.0,330000
244 Okeechobee Cv,CV,Single Family Residential,498319.0,550000
3812 Misty Way,CV,Single Family Residential,463496.0,405000
87 Matthew Blvd,CV,Single Family Residential,1122643.0,1146000
4019 Drifting Sand Trl,CV,Single Family Residential,540999.0,563000
303 Corinthian Pl,CV,Single Family Residential,1649773.0,1695000
276 Baywinds Dr,CV,Single Family Residential,641054.0,730000
302 Liriope Loop,CV,Single Family Residential,559329.0,485000
435 Admiral Ct,CV,Single Family Residential,1246837.0,1359000
255 Twin Lakes Ln,CV,Single Family Residential,438183.0,410000
4551 Village Way,CV,Single Family Residential,1034312.0,1115000
9 Cahaba Ln,CV,Single Family Residential,750371.0,690000
149 Kel Wen Cir,CV,Single Family Residential,600242.0,590000
4087 Drifting Sand Trl,CV,Single Family Residential,510187.0,525000
805 Kell Aire Dr,CV,Single Family Residential,619658.0,700000
1200 Bay Ct,CV,Single Family Residential,581713.0,619000
278 Calusa Blvd,CV,Single Family Residential,752383.0,600000
90 Sunfish St,CV,Single Family Residential,983559.0,925000
29 Kristin Cv,CV,Single Family Residential,736038.0,625000
4781 Ocean Blvd,CV,Single Family Residential,1891732.0,1775000
106 Fletcher Way,CV,Single Family Residential,752049.0,687900
1213 Quail Lake Blvd,CV,Single Family Residential,794532.0,700000
269 Twin Lakes Ln,CV,Single Family Residential,406229.0,420000
621 Calhoun Ave,CV,Single Family Residential,4514140.0,4630000
4316 Stonebridge Rd,CV,Single Family Residential,1712848.0,1853000
94 Mantero Way,CV,Single Family Residential,596452.0,499900
710 Beach Dr,CV,Single Family Residential,1444350.0,1350000
4663 Sunsail Cir,CV,Single Family Residential,698829.0,675000
347 Skyler Run,CV,Single Family Residential,517964.0,469900
90 Terra Cotta Way,CV,Single Family Residential,1208741.0,1200000
212 Mattie's Way,CV,Single Family Residential,1085990.0,1025000
4501 Luke Ave,CV,Single Family Residential,994836.0,1050000
4548 Sailmaker Ln,CV,Single Family Residential,3135878.0,3150000
76 Stingray St,CV,Single Family Residential,1286491.0,1300000
20 Norriego Rd,CV,Single Family Residential,2059632.0,2200000
4691 Amhurst Cir,CV,Single Family Residential,508778.0,495000
4430 Stonebridge Rd,CV,Single Family Residential,1687594.0,1650000
609 Calhoun Ave,CV,Single Family Residential,1315630.0,1200000
390 Terrapin Trce,CV,Single Family Residential,755019.0,690000
4030 Indian Trl,CV,Single Family Residential,601155.0,785000
226 Kono Way,CV,Single Family Residential,979748.0,889000
106 Tuscany Dr,CV,Single Family Residential,537980.0,550000
510 Osceola Dr,CV,Single Family Residential,1762732.0,1730000
4018 Lauren Ct,CV,Single Family Residential,652563.0,535000
181 Bent Arrow Dr,CV,Single Family Residential,373460.0,359000
419 Ridge Wood Cir,CV,Single Family Residential,664596.0,672000
4635 Sunsail Cir,CV,Single Family Residential,711557.0,640000
4657 Destiny Way,CV,Single Family Residential,1619837.0,1590000
722 Harbor Blvd,CV,Single Family Residential,1720679.0,1995000
168 Kel-Wen Cir,CV,Single Family Residential,622534.0,575000
4662 Destiny Way,CV,Single Family Residential,3603302.0,3653000
92 Cayman Cv,CV,Single Family Residential,1141792.0,947000
4754 Ocean Blvd,CV,Single Family Residential,6038346.0,6200000
514 Third Ave,CV,Single Family Residential,428765.0,415000
3991 Lauren Ct,CV,Single Family Residential,564612.0,675000
4630 Paradise Isle,CV,Single Family Residential,1678268.0,1900000
400 Coleman Pt,CV,Single Family Residential,5433530.0,5500000
704 Harbor Ln,CV,Single Family Residential,764401.0,685000
20 Jade Cv,CV,Single Family Residential,979933.0,943250
843 Kell Aire Dr,CV,Single Family Residential,690283.0,575000
33 E Country Club Dr,CV,Single Family Residential,1008166.0,875000
4399 Old Bayou Trl,CV,Single Family Residential,1090935.0,1060000
4481 C Luke Ave,CV,Single Family Residential,811557.0,875000
85 Woodward St,CV,Single Family Residential,5737707.0,5750000
614 4th St,CV,Single Family Residential,546321.0,460000
3889 Sandprint Dr,CV,Single Family Residential,1775286.0,1800000
503 Baywood Ct,CV,Single Family Residential,427360.0,567000
66 Garnet Pl,CV,Single Family Residential,716385.0,630000
4668 Westwinds Way,CV,Single Family Residential,2516623.0,2600000
4713 Ocean Blvd,CV,Single Family Residential,3425802.0,3325000
77 Stingray St,CV,Single Family Residential,1097466.0,1175000
46 E Country Club Dr,CV,Single Family Residential,486924.0,490000
156 Baywinds Dr,CV,Single Family Residential,809694.0,925000
62 E Country Club Dr,CV,Single Family Residential,860038.0,806500
4016 Drifting Sand Trl,CV,Single Family Residential,595652.0,605000
105 Fletcher Way,CV,Single Family Residential,601479.0,627000
3610 Melrose Ave,CV,Single Family Residential,1779956.0,1638000
4721 Amhurst Cir,CV,Single Family Residential,594702.0,505000
319 Primrose Pl,CV,Single Family Residential,423785.0,485000
101 Fletcher Way,CV,Single Family Residential,571254.0,627000
446 Admiral Ct,CV,Single Family Residential,3218086.0,3400000
618 Benning Dr,CV,Single Family Residential,499298.0,475000
270 Chipola Cv,CV,Single Family Residential,622320.0,625000
4457 Clipper Cv,CV,Single Family Residential,879396.0,800000
229 Twin Lakes Dr,CV,Single Family Residential,393399.0,383000
4706 Lantana Ln,CV,Single Family Residential,1112734.0,1050000
92 Cord Pl,CV,Single Family Residential,356735.0,315000
4505 Pottery Pl,CV,Single Family Residential,1137372.0,975000
56 E Country Club Dr,CV,Single Family Residential,798319.0,725000
262 Lantern Ln,CV,Single Family Residential,1627255.0,1549700
500 Kelly St,CV,Single Family Residential,409964.0,400000
205 Tahitian Way,CV,Single Family Residential,965046.0,960000
422 Baywinds Dr,CV,Single Family Residential,794666.0,840000
4066 Drifting Sand Trl,CV,Single Family Residential,470046.0,487500
XXX Cottage Way #7,CV,Single Family Residential,2619318.0,2775000
4734 Papaya Park Park,CV,Single Family Residential,687381.0,810000
4624 Windstarr Dr,CV,Single Family Residential,711557.0,590000
4587 Sailmaker Ln,CV,Single Family Residential,708683.0,855000
613 Sea Oats Dr,CV,Single Family Residential,438049.0,415000
5 Cross Ct,CV,Single Family Residential,1999731.0,2200000
4116 Indian Trl,CV,Single Family Residential,975827.0,950000
261 Tequesta Dr,CV,Single Family Residential,687619.0,751400
145 Lola Cir,CV,Single Family Residential,399444.0,395000
499 Regatta Bay Blvd,CV,Single Family Residential,2475517.0,2185000
4117 Indian Bayou North,CV,Single Family Residential,1506232.0,1550000
3773 Misty Way,CV,Single Family Residential,430065.0,410000
103 Shirah St,CV,Single Family Residential,2532758.0,2500000
4307 Carriage Ln,CV,Single Family Residential,902090.0,995000
4712 Seastar Vis,CV,Single Family Residential,1879481.0,1800000
4093 Drifting Sand Trl,CV,Single Family Residential,625169.0,590000
4439 Luke Ave,CV,Single Family Residential,844149.0,925000
53 Siesta Blf,CV,Single Family Residential,1903125.0,1900000
4659 Westwinds Way,CV,Single Family Residential,2532600.0,2400000
4005 Drifting Sand Trl,CV,Single Family Residential,483257.0,545000
515 Gulf Shore Dr,CV,Single Family Residential,1557898.0,1725000
4643 Destiny Way,CV,Single Family Residential,1893503.0,1959000
4555 Woodwind Dr,CV,Single Family Residential,706847.0,645000
242 Calusa Blvd,CV,Single Family Residential,518673.0,520000
3863 Indian Trl Unit 104,CV,Single Family Residential,384673.0,305000
1217 Quail Lake Blvd,CV,Single Family Residential,501676.0,285000
612 Magnolia Dr,CV,Single Family Residential,3916674.0,3836000
4736 Amhurst Cir,CV,Single Family Residential,821043.0,745000
804 Harbor Ln,CV,Single Family Residential,563208.0,635000
