ADDRESS,Data Split,PROPERTY TYPE,PredictedPrice,PRICE
4754 Ocean Blvd,CV,Single Family Residential,5986158.0,6200000
85 Woodward St,CV,Single Family Residential,5387688.0,5750000
4518 Olde Plantation Pl,CV,Single Family Residential,4757036.0,5500000
400 Coleman Pt,CV,Single Family Residential,5247816.0,5500000
621 Calhoun Ave,CV,Single Family Residential,3966896.0,4630000
612 Magnolia Dr,CV,Single Family Residential,3877014.0,3836000
4662 Destiny Way,CV,Single Family Residential,3481825.0,3653000
4748 ocean Blvd,CV,Single Family Residential,2949637.0,3500000
3484 Scenic Highway 98,CV,Single Family Residential,3021933.0,3400000
446 Admiral Ct,CV,Single Family Residential,2808056.0,3400000
4713 Ocean Blvd,CV,Single Family Residential,3543036.0,3325000
4511 Sawgrass Way,CV,Single Family Residential,3220951.0,3200000
4548 Sailmaker Ln,CV,Single Family Residential,3014970.0,3150000
4761 Ocean Blvd,CV,Single Family Residential,2956559.0,2950000
XXX Cottage Way #7,CV,Single Family Residential,2526579.0,2775000
4668 Westwinds Way,CV,Single Family Residential,2533009.0,2600000
103 Shirah St,CV,Single Family Residential,2547814.0,2500000
4659 Westwinds Way,CV,Single Family Residential,2709198.0,2400000
4806 Ocean Blvd,CV,Single Family Residential,2397448.0,2300000
20 Norriego Rd,CV,Single Family Residential,2065395.0,2200000
5 Cross Ct,CV,Single Family Residential,1780942.0,2200000
499 Regatta Bay Blvd,CV,Single Family Residential,2491827.0,2185000
4507 Olde Plantation Pl,CV,Single Family Residential,2532253.0,2100000
3583 Waverly Cir,CV,Single Family Residential,1945748.0,1995000
722 Harbor Blvd,CV,Single Family Residential,1723786.0,1995000
4643 Destiny Way,CV,Single Family Residential,1928842.0,1959000
4616 Paradise Isle,CV,Single Family Residential,2166320.0,1900000
4630 Paradise Isle,CV,Single Family Residential,1603740.0,1900000
53 Siesta Blf,CV,Single Family Residential,1923919.0,1900000
4316 Stonebridge Rd,CV,Single Family Residential,1753368.0,1853000
3889 Sandprint Dr,CV,Single Family Residential,1754154.0,1800000
4712 Seastar Vis,CV,Single Family Residential,1839432.0,1800000
4781 Ocean Blvd,CV,Single Family Residential,1850702.0,1775000
515 Regatta Bay Blvd,CV,Single Family Residential,1552629.0,1749000
510 Osceola Dr,CV,Single Family Residential,1679242.0,1730000
515 Gulf Shore Dr,CV,Single Family Residential,1521540.0,1725000
303 Corinthian Pl,CV,Single Family Residential,1621594.0,1695000
4844 Ocean Blvd,CV,Single Family Residential,1553617.0,1675000
4821 Ocean Blvd,CV,Single Family Residential,1619517.0,1650000
4430 Stonebridge Rd,CV,Single Family Residential,1739520.0,1650000
3610 Melrose Ave,CV,Single Family Residential,1935580.0,1638000
702 Harbor Blvd,CV,Single Family Residential,1354887.0,1600000
4657 Destiny Way,CV,Single Family Residential,1714106.0,1590000
3993 Indian Trl,CV,Single Family Residential,1525799.0,1575000
4117 Indian Bayou North,CV,Single Family Residential,1474491.0,1550000
262 Lantern Ln,CV,Single Family Residential,1683872.0,1549700
6278 Augusta Cv,CV,Single Family Residential,1475231.0,1465000
248 Matties Way,CV,Single Family Residential,1710970.0,1450000
4077 N Indian Byu,CV,Single Family Residential,1223308.0,1440000
435 Admiral Ct,CV,Single Family Residential,1162915.0,1359000
710 Beach Dr,CV,Single Family Residential,1390535.0,1350000
4304 Stonebridge Rd,CV,Single Family Residential,1501601.0,1349000
76 Stingray St,CV,Single Family Residential,1270858.0,1300000
3551 Scenic Hwy 98 17,CV,Single Family Residential,1341353.0,1290000
